device_id,month,created_on,fifteen_min,five_min,full_spectrum,humidity,infrared_spectrum,one_min,overall_lux,pircount,temperature,temperature_raw,humidity_raw,temperature_refined,humidity_refined
EDCFFF303433463443206509,201607,2016-07-01 03:20:23,0.0,0.0,1317.0,59.13000106811523,341.0,0.0,28.0,0.0,32.139999389648445,32.139999389648445,59.13000106811523,28.139999389648445,75.13000106811523
EDCFFF303433463443206509,201607,2016-07-01 03:20:53,0.0,0.0,1216.0,58.47000122070313,299.0,0.0,26.0,0.0,32.150001525878906,32.150001525878906,58.47000122070313,28.150001525878906,74.47000122070312
EDCFFF303433463443206509,201607,2016-07-01 03:21:23,0.0,0.0,1212.0,57.86999893188477,296.0,1.0,26.0,1.0,32.15999984741211,32.15999984741211,57.86999893188477,28.15999984741211,73.86999893188477
EDCFFF303433463443206509,201607,2016-07-01 03:21:53,0.0,0.0,1207.0,57.2400016784668,297.0,1.0,26.0,0.0,32.080001831054695,32.080001831054695,57.2400016784668,28.080001831054695,73.2400016784668
EDCFFF303433463443206509,201607,2016-07-01 03:22:23,0.0,0.0,1207.0,56.849998474121094,297.0,0.0,26.0,0.0,32.080001831054695,32.080001831054695,56.849998474121094,28.080001831054695,72.8499984741211
EDCFFF303433463443206509,201607,2016-07-01 03:22:53,0.0,0.0,1290.0,56.11000061035156,333.0,0.0,27.0,0.0,32.060001373291016,32.060001373291016,56.11000061035156,28.060001373291016,72.11000061035156
EDCFFF303433463443206509,201607,2016-07-01 03:23:23,0.0,0.0,1300.0,55.33000183105469,338.0,0.0,27.0,0.0,31.899999618530273,31.899999618530273,55.33000183105469,27.899999618530273,71.33000183105469
EDCFFF303433463443206509,201607,2016-07-01 03:23:53,0.0,0.0,965.0,56.040000915527344,274.0,0.0,19.0,1.0,31.86000061035156,31.86000061035156,56.040000915527344,27.86000061035156,72.04000091552734
EDCFFF303433463443206509,201607,2016-07-01 03:24:23,0.0,1.0,1291.0,56.11000061035156,329.0,5.0,27.0,4.0,31.93000030517578,31.93000030517578,56.11000061035156,27.93000030517578,72.11000061035156
EDCFFF303433463443206509,201607,2016-07-01 03:24:53,0.0,1.0,1278.0,55.81000137329102,318.0,5.0,28.0,0.0,31.8799991607666,31.8799991607666,55.81000137329102,27.8799991607666,71.81000137329102
EDCFFF303433463443206509,201607,2016-07-01 03:25:23,0.0,1.0,1284.0,56.6500015258789,318.0,2.0,28.0,2.0,31.81999969482422,31.81999969482422,56.6500015258789,27.81999969482422,72.6500015258789
EDCFFF303433463443206509,201607,2016-07-01 03:25:53,0.0,1.0,1251.0,57.65999984741211,301.0,2.0,27.0,4.0,31.84000015258789,31.84000015258789,57.65999984741211,27.84000015258789,73.65999984741211
EDCFFF303433463443206509,201607,2016-07-01 03:26:23,1.0,2.0,1234.0,58.5,293.0,5.0,27.0,1.0,31.8700008392334,31.8700008392334,58.5,27.8700008392334,74.5
EDCFFF303433463443206509,201607,2016-07-01 03:26:53,1.0,2.0,1263.0,59.18999862670898,306.0,5.0,28.0,0.0,31.95000076293945,31.95000076293945,59.18999862670898,27.95000076293945,75.18999862670898
EDCFFF303433463443206509,201607,2016-07-01 03:27:23,1.0,2.0,1328.0,59.66999816894531,336.0,0.0,28.0,0.0,32.0,32.0,59.66999816894531,28.0,75.66999816894531
EDCFFF303433463443206509,201607,2016-07-01 03:27:53,1.0,2.0,1214.0,59.90999984741211,286.0,0.0,27.0,0.0,32.060001373291016,32.060001373291016,59.90999984741211,28.060001373291016,75.90999984741211
EDCFFF303433463443206509,201607,2016-07-01 03:28:23,1.0,2.0,1221.0,59.0099983215332,286.0,0.0,27.0,0.0,32.09999847412109,32.09999847412109,59.0099983215332,28.099998474121087,75.0099983215332
EDCFFF303433463443206509,201607,2016-07-01 03:28:53,1.0,2.0,1247.0,57.9000015258789,301.0,0.0,27.0,0.0,32.110000610351555,32.110000610351555,57.9000015258789,28.110000610351555,73.9000015258789
EDCFFF303433463443206509,201607,2016-07-01 03:29:23,1.0,1.0,1315.0,57.11999893188477,330.0,0.0,28.0,0.0,32.080001831054695,32.080001831054695,57.11999893188477,28.080001831054695,73.11999893188477
EDCFFF303433463443206509,201607,2016-07-01 03:29:53,1.0,1.0,1242.0,56.93999862670898,297.0,0.0,27.0,0.0,32.040000915527344,32.040000915527344,56.93999862670898,28.040000915527344,72.93999862670898
EDCFFF303433463443206509,201607,2016-07-01 03:30:23,0.0,1.0,1228.0,56.52999877929688,290.0,1.0,27.0,1.0,32.02000045776367,32.02000045776367,56.52999877929688,28.020000457763672,72.52999877929688
EDCFFF303433463443206509,201607,2016-07-01 03:30:53,0.0,1.0,1272.0,56.58000183105469,306.0,1.0,28.0,2.0,32.0,32.0,56.58000183105469,28.0,72.58000183105469
EDCFFF303433463443206509,201607,2016-07-01 03:31:23,1.0,1.0,1077.0,55.77999877929688,261.0,7.0,23.0,5.0,31.96999931335449,31.96999931335449,55.77999877929688,27.96999931335449,71.77999877929688
EDCFFF303433463443206509,201607,2016-07-01 03:31:53,1.0,1.0,1236.0,55.63000106811523,311.0,7.0,26.0,1.0,31.899999618530273,31.899999618530273,55.63000106811523,27.899999618530273,71.63000106811523
EDCFFF303433463443206509,201607,2016-07-01 03:32:23,1.0,2.0,1155.0,55.52999877929688,296.0,2.0,24.0,1.0,31.88999938964844,31.88999938964844,55.52999877929688,27.88999938964844,71.52999877929688
EDCFFF303433463443206509,201607,2016-07-01 03:32:53,1.0,2.0,1215.0,55.45000076293945,302.0,2.0,26.0,2.0,31.8799991607666,31.8799991607666,55.45000076293945,27.8799991607666,71.45000076293945
EDCFFF303433463443206509,201607,2016-07-01 03:33:23,1.0,3.0,1150.0,56.31000137329102,276.0,6.0,25.0,4.0,31.78000068664551,31.78000068664551,56.31000137329102,27.78000068664551,72.31000137329102
EDCFFF303433463443206509,201607,2016-07-01 03:33:53,1.0,3.0,1192.0,57.2400016784668,290.0,6.0,26.0,2.0,31.75,31.75,57.2400016784668,27.75,73.2400016784668
EDCFFF303433463443206509,201607,2016-07-01 03:34:23,2.0,4.0,1300.0,58.22999954223633,324.0,5.0,28.0,3.0,31.75,31.75,58.22999954223633,27.75,74.22999954223633
EDCFFF303433463443206509,201607,2016-07-01 03:34:53,2.0,4.0,1313.0,58.7400016784668,322.0,5.0,28.0,1.0,31.81999969482422,31.81999969482422,58.7400016784668,27.81999969482422,74.7400016784668
EDCFFF303433463443206509,201607,2016-07-01 03:35:23,2.0,5.0,1301.0,59.66999816894531,321.0,6.0,28.0,5.0,31.8700008392334,31.8700008392334,59.66999816894531,27.8700008392334,75.66999816894531
EDCFFF303433463443206509,201607,2016-07-01 03:35:53,2.0,5.0,1219.0,59.84000015258789,307.0,6.0,26.0,5.0,31.95000076293945,31.95000076293945,59.84000015258789,27.95000076293945,75.84000015258789
EDCFFF303433463443206509,201607,2016-07-01 03:36:23,3.0,5.0,1222.0,59.040000915527344,309.0,6.0,26.0,1.0,32.0,32.0,59.040000915527344,28.0,75.04000091552734
EDCFFF303433463443206509,201607,2016-07-01 03:36:53,3.0,5.0,1233.0,58.02000045776367,313.0,6.0,26.0,1.0,31.96999931335449,31.96999931335449,58.02000045776367,27.96999931335449,74.02000045776367
